Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -,ID
New York Rangers,1990,36,31,0,0.45,297,265,32,38
Philadelphia Flyers,1990,33,37,0,0.412,252,267,-15,39
Pittsburgh Penguins,1990,41,33,0,0.512,342,305,37,40
Quebec Nordiques,1990,16,50,0,0.2,236,354,-118,41
St. Louis Blues,1990,47,22,0,0.588,310,250,60,42
Toronto Maple Leafs,1990,23,46,0,0.287,241,318,-77,43
Vancouver Canucks,1990,28,43,0,0.35,243,315,-72,44
Washington Capitals,1990,37,36,0,0.463,258,258,0,45
Winnipeg Jets,1990,26,43,0,0.325,260,288,-28,46
Boston Bruins,1991,36,32,0,0.45,270,275,-5,47
Buffalo Sabres,1991,31,37,0,0.388,289,299,-10,48
Calgary Flames,1991,31,37,0,0.388,296,305,-9,49
Chicago Blackhawks,1991,36,29,0,0.45,257,236,21,50
Boston Bruins,1990,44,24,0,0.55,299,264,35,51
Buffalo Sabres,1990,31,30,0,0.388,292,278,14,52
Calgary Flames,1990,46,26,0,0.575,344,263,81,53
Chicago Blackhawks,1990,49,23,0,0.613,284,211,73,54
Detroit Red Wings,1990,34,38,0,0.425,273,298,-25,55
Edmonton Oilers,1990,37,37,0,0.463,272,272,0,56
Hartford Whalers,1990,31,38,0,0.388,238,276,-38,57
Los Angeles Kings,1990,46,24,0,0.575,340,254,86,58
Minnesota North Stars,1990,27,39,0,0.338,256,266,-10,59
Montreal Canadiens,1990,39,30,0,0.487,273,249,24,60
New Jersey Devils,1990,32,33,0,0.4,272,264,8,61
New York Islanders,1990,25,45,0,0.312,223,290,-67,62
New York Rangers,1990,36,31,0,0.45,297,265,32,63
Philadelphia Flyers,1990,33,37,0,0.412,252,267,-15,64
Pittsburgh Penguins,1990,41,33,0,0.512,342,305,37,65
Quebec Nordiques,1990,16,50,0,0.2,236,354,-118,66
St. Louis Blues,1990,47,22,0,0.588,310,250,60,67
Toronto Maple Leafs,1990,23,46,0,0.287,241,318,-77,68
Vancouver Canucks,1990,28,43,0,0.35,243,315,-72,69
Washington Capitals,1990,37,36,0,0.463,258,258,0,70
Winnipeg Jets,1990,26,43,0,0.325,260,288,-28,71
Boston Bruins,1991,36,32,0,0.45,270,275,-5,72
Buffalo Sabres,1991,31,37,0,0.388,289,299,-10,73
Calgary Flames,1991,31,37,0,0.388,296,305,-9,74
Chicago Blackhawks,1991,36,29,0,0.45,257,236,21,75
Boston Bruins,1990,44,24,0,0.55,299,264,35,76
Buffalo Sabres,1990,31,30,0,0.388,292,278,14,77
Calgary Flames,1990,46,26,0,0.575,344,263,81,78
Chicago Blackhawks,1990,49,23,0,0.613,284,211,73,79
Detroit Red Wings,1990,34,38,0,0.425,273,298,-25,80
Edmonton Oilers,1990,37,37,0,0.463,272,272,0,81
Hartford Whalers,1990,31,38,0,0.388,238,276,-38,82
Los Angeles Kings,1990,46,24,0,0.575,340,254,86,83
Minnesota North Stars,1990,27,39,0,0.338,256,266,-10,84
Montreal Canadiens,1990,39,30,0,0.487,273,249,24,85
New Jersey Devils,1990,32,33,0,0.4,272,264,8,86
New York Islanders,1990,25,45,0,0.312,223,290,-67,87
New York Rangers,1990,36,31,0,0.45,297,265,32,88
Philadelphia Flyers,1990,33,37,0,0.412,252,267,-15,89
Pittsburgh Penguins,1990,41,33,0,0.512,342,305,37,90
Quebec Nordiques,1990,16,50,0,0.2,236,354,-118,91
St. Louis Blues,1990,47,22,0,0.588,310,250,60,92
Toronto Maple Leafs,1990,23,46,0,0.287,241,318,-77,93
Vancouver Canucks,1990,28,43,0,0.35,243,315,-72,94
Washington Capitals,1990,37,36,0,0.463,258,258,0,95
Winnipeg Jets,1990,26,43,0,0.325,260,288,-28,96
Boston Bruins,1991,36,32,0,0.45,270,275,-5,97
Buffalo Sabres,1991,31,37,0,0.388,289,299,-10,98
Calgary Flames,1991,31,37,0,0.388,296,305,-9,99
Chicago Blackhawks,1991,36,29,0,0.45,257,236,21,100
Boston Bruins,1990,44,24,0,0.55,299,264,35,101
Buffalo Sabres,1990,31,30,0,0.388,292,278,14,102
Calgary Flames,1990,46,26,0,0.575,344,263,81,103
Chicago Blackhawks,1990,49,23,0,0.613,284,211,73,104
Detroit Red Wings,1990,34,38,0,0.425,273,298,-25,105
Edmonton Oilers,1990,37,37,0,0.463,272,272,0,106
Hartford Whalers,1990,31,38,0,0.388,238,276,-38,107
Los Angeles Kings,1990,46,24,0,0.575,340,254,86,108
Minnesota North Stars,1990,27,39,0,0.338,256,266,-10,109
Montreal Canadiens,1990,39,30,0,0.487,273,249,24,110
New Jersey Devils,1990,32,33,0,0.4,272,264,8,111
New York Islanders,1990,25,45,0,0.312,223,290,-67,112
New York Rangers,1990,36,31,0,0.45,297,265,32,113
Philadelphia Flyers,1990,33,37,0,0.412,252,267,-15,114
Pittsburgh Penguins,1990,41,33,0,0.512,342,305,37,115
Quebec Nordiques,1990,16,50,0,0.2,236,354,-118,116
St. Louis Blues,1990,47,22,0,0.588,310,250,60,117
Toronto Maple Leafs,1990,23,46,0,0.287,241,318,-77,118
Vancouver Canucks,1990,28,43,0,0.35,243,315,-72,119
Washington Capitals,1990,37,36,0,0.463,258,258,0,120
Winnipeg Jets,1990,26,43,0,0.325,260,288,-28,121
Boston Bruins,1991,36,32,0,0.45,270,275,-5,122
Buffalo Sabres,1991,31,37,0,0.388,289,299,-10,123
Calgary Flames,1991,31,37,0,0.388,296,305,-9,124
Chicago Blackhawks,1991,36,29,0,0.45,257,236,21,125
